election_day,type,region,N,farleft,left,green,center,right,farright,other
2010-03-14,regional,Normandie,1053748,99307,356304,110043,59384,276378,109357,42975
2010-03-14,regional,Nouvelle-Aquitaine,1978213,187861,753959,206227,149667,487805,158754,33940
2010-03-14,regional,Occitanie,1903273,189986,483873,217677,38290,395148,208349,369950
2010-03-14,regional,Pays de la Loire,1178885,77762,405105,160831,53879,386479,83159,11670
2010-03-14,regional,Provence-Alpes-Côte d'Azur,1459832,129098,376601,159426,36699,388365,296283,73360
2011-03-20,department,Auvergne-Rhône-Alpes,1087379,84118,250403,118511,52334,150715,165991,265307
2011-03-20,department,Bourgogne-Franche-Comté,447627,23037,117431,26074,10310,101959,67794,101022
2011-03-20,department,Bretagne,523773,34663,162695,54379,19436,81301,22762,148537
2011-03-20,department,Centre-Val de Loire,380373,32895,92613,23973,36765,65302,59735,69090
2011-03-20,department,Corse,58868,2371,6687,266,0,7032,978,41534
2011-03-20,department,Grand Est,780207,43424,165089,59857,27320,156740,148768,179009
2011-03-20,department,Guadeloupe,57780,1307,11949,113,1089,4084,0,39238
2011-03-20,department,Guyane,10676,283,1653,739,0,823,0,7178
2011-03-20,department,Hauts-de-France,906519,112637,262567,59681,45668,120624,204308,101034
2011-03-20,department,Ile-de-France,1041393,103492,227543,119757,48290,247814,176781,117716
2011-03-20,department,La Réunion,144755,40189,27295,6652,4466,33507,0,32646
2011-03-20,department,Martinique,56151,0,4411,76,3471,2185,0,46008
2011-03-20,department,Normandie,484681,40060,138254,34686,32291,60272,66788,112330
2011-03-20,department,Nouvelle-Aquitaine,939010,84648,334836,77678,39663,169397,84634,148154
2011-03-20,department,Occitanie,929452,89590,316032,78833,22959,101049,154216,166773
2011-03-20,department,Pays de la Loire,560494,26266,149842,63131,37450,81809,42595,159401
2011-03-20,department,Provence-Alpes-Côte d'Azur,728229,59252,148951,62736,21243,162378,184552,89117
2012-04-22,president,Auvergne-Rhône-Alpes,4236772,487361,1121830,113157,421850,1161002,768100,163472
2012-04-22,president,Bourgogne-Franche-Comté,1605933,171131,435464,31446,140222,427908,333120,66642
2012-04-22,president,Bretagne,1979793,217929,628441,58396,224902,508072,262095,79958
2012-04-22,president,Centre-Val de Loire,1445979,151971,385169,26314,137172,403460,280096,61797
2012-04-22,president,Corse,160732,15834,39029,3678,8050,50492,39209,4440
2012-04-22,president,Grand Est,3016790,268120,702093,60071,297086,862918,700276,126226
2012-04-22,president,Guadeloupe,145159,7806,82735,2134,6861,33973,7486,4164
2012-04-22,president,Guyane,37412,2952,15943,843,2329,10174,3920,1251
2012-04-22,president,Hauts-de-France,3283288,381641,916146,48375,233986,791042,783156,128942
2012-04-22,president,Ile-de-France,5340480,632208,1695372,144346,492070,1550000,655926,170558
2012-04-22,president,La Réunion,364085,24503,194009,7737,24853,65377,37549,10057
2012-04-22,president,Martinique,146270,8600,76034,2275,8681,38443,6960,5277
2012-04-22,president,Mayotte,35983,944,13152,789,1505,17536,996,1061
2012-04-22,president,Normandie,1911191,214395,529617,34179,175750,516411,358330,82509
2012-04-22,president,Nouvelle-Aquitaine,3419128,402526,1094450,74536,339978,829948,539002,138688
2012-04-22,president,Occitanie,3284870,433452,961597,80218,271016,781691,644965,111931
2012-04-22,president,Pays de la Loire,2145252,217491,609189,52816,249971,614195,308806,92784
2012-04-22,president,Provence-Alpes-Côte d'Azur,2724649,306088,600742,59009,182178,846367,650336,79929
2012-06-10,legislative,Auvergne-Rhône-Alpes,3034596,224947,906002,229134,73964,934175,440818,225556
2012-06-10,legislative,Bourgogne-Franche-Comté,1195738,65466,386088,61950,36527,361477,177380,106850
2012-06-10,legislative,Bretagne,1444446,82204,501527,82376,26694,368292,116898,266455
2012-06-10,legislative,Centre-Val de Loire,1056975,69488,332380,60965,82971,308242,152895,50034
